,Word1,Word2,Experiment,boardnames,top 3 similar words(sum),top 3 similar words(cat)
23,heavy,feather,E1,e1_board7_words,"['massive', 'strict', 'bulky']","['strict', 'massive', 'binding']"
24,breeze,bubble,E1,e1_board8_words,"['bubbles', 'oven', 'blow']","['bubbles', 'oven', 'blow']"
25,bad,actress,E1,e1_board8_words,"['actor', 'actors', 'shitty']","['actor', 'actors', 'shitty']"
26,communicate,cooking,E1,e1_board8_words,"['connect', 'talking', 'healing']","['connect', 'talking', 'healing']"
27,bat,bounce,E1,e1_board9_words,"['glove', 'blow', 'chick']","['glove', 'blow', 'garage']"
28,toes,Dracula,E1,e1_board9_words,"['toe', 'Cinderella', 'barefoot']","['toe', 'Cinderella', 'barefoot']"
29,lunch,almond,E1,e1_board9_words,"['breakfast', 'popcorn', 'oyster']","['breakfast', 'dinner', 'popcorn']"
30,cave,knight,E2,e2_board1_words,"['tunnel', 'cottage', 'turtle']","['tunnel', 'cottage', 'mansion']"
31,quick,glow,E2,e2_board1_words,"['flash', 'flicker', 'glowing']","['flash', 'glowing', 'flicker']"
32,tree,oak,E2,e2_board1_words,"['branches', 'foliage', 'squirrel']","['branches', 'squirrel', 'foliage']"
33,garage,bone,E2,e2_board10_words,"['fatigue', 'warehouse', 'stump']","['warehouse', 'fatigue', 'stump']"
34,feet,chapel,E2,e2_board10_words,"['sandals', 'shoes', 'cottage']","['sandals', 'shoes', 'cottage']"
35,chair,table,E2,e2_board10_words,"['tables', 'stool', 'sofa']","['tables', 'stool', 'sofa']"
36,stern,wind,E2,e2_board2_words,"['gust', 'sails', 'surf']","['gust', 'sails', 'surf']"
37,sun,bowl,E2,e2_board2_words,"['dome', 'bowls', 'dish']","['dome', 'bowls', 'dish']"
38,gold,silver,E2,e2_board2_words,"['bronze', 'yellow', 'golden']","['yellow', 'golden', 'bronze']"
39,holy,kind,E2,e2_board3_words,"['massive', 'strict', 'pierced']","['massive', 'pierced', 'strict']"
40,teeth,gums,E2,e2_board3_words,"['buns', 'rubbers', 'frosting']","['rubbers', 'buns', 'oodles']"
41,rude,regret,E2,e2_board3_words,"['humiliation', 'shame', 'irritation']","['humiliation', 'shame', 'irritation']"
42,dream,bet,E2,e2_board4_words,"['dreaming', 'nightmare', 'snack']","['dreaming', 'nightmare', 'blow']"
43,jump,leap,E2,e2_board4_words,"['jumping', 'bounce', 'freeze']","['jumping', 'bounce', 'freeze']"
44,travel,ankle,E2,e2_board4_words,"['traveling', 'wheelchair', 'massage']","['wheelchair', 'traveling', 'camping']"
45,snake,ash,E2,e2_board5_words,"['kitten', 'lizard', 'squirrel']","['lizard', 'kitten', 'squirrel']"
46,hand,birth,E2,e2_board5_words,"['hands', 'fingers', 'cheek']","['hands', 'fingers', 'name']"
47,lion,tiger,E2,e2_board5_words,"['monkey', 'panther', 'leopard']","['monkey', 'panther', 'squirrel']"
48,elm,rock,E2,e2_board6_words,"['oak', 'cedar', 'leaf']","['oak', 'cedar', 'leaf']"
49,crust,boot,E2,e2_board6_words,"['glove', 'oven', 'nail']","['glove', 'oven', 'nail']"
50,sit,stand,E2,e2_board6_words,"['eat', 'stay', 'sitting']","['eat', 'stay', 'sitting']"
51,east,short,E2,e2_board7_words,"['north', 'south', 'straight']","['north', 'south', 'straight']"
52,old,new,E2,e2_board7_words,"['outdated', 'antique', 'kid']","['outdated', 'antique', 'kid']"
53,glass,cage,E2,e2_board7_words,"['stone', 'mason', 'kitten']","['stone', 'mason', 'kitten']"
54,giant,subtle,E2,e2_board8_words,"['bulky', 'smoky', 'shaky']","['smoky', 'shaky', 'bulky']"
55,army,drum,E2,e2_board8_words,"['military', 'mortar', 'soldier']","['mortar', 'military', 'housing']"
56,happy,sad,E2,e2_board8_words,"['sadness', 'happiness', 'pleased']","['sadness', 'happiness', 'pleased']"
57,weird,trauma,E2,e2_board9_words,"['strange', 'scary', 'confusing']","['strange', 'confusing', 'scary']"
58,olive,real,E2,e2_board9_words,"['lemon', 'Thanksgiving', 'purple']","['lemon', 'purple', 'Thanksgiving']"
59,candle,wick,E2,e2_board9_words,"['spark', 'cookie', 'flicker']","['spark', 'cookie', 'flicker']"
