,Experiment,Board,Word1,Word2,Clue1,clueCount,wordpair,boardwords,boardnames,representation,prag_speaker_probs,prag_speaker_rank
30,E1,TrialList1,void,couch,crack,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00012227966002074047,1050
32,E1,TrialList1,void,couch,depressed,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,9.263668618709565e-05,1542
33,E1,TrialList1,void,couch,empty,2,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.017534026705636453,4
34,E1,TrialList1,void,couch,furniture,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.005729724461877691,14
35,E1,TrialList1,void,couch,lazy,5,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0003758361476308973,211
36,E1,TrialList1,void,couch,move,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00027472024910271605,335
37,E1,TrialList1,void,couch,pillow,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0008026542989580904,87
38,E1,TrialList1,void,couch,purchase,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,4.214716972653057e-05,4483
39,E1,TrialList1,void,couch,relax,2,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.005641404938090087,15
40,E1,TrialList1,void,couch,seat,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.019285963526744436,2
43,E1,TrialList1,void,couch,sit,2,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.026465748029080614,1
44,E1,TrialList1,void,couch,sofa,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.009138841490081168,9
45,E1,TrialList1,void,couch,space,2,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.001132388303805712,56
46,E1,TrialList1,void,couch,stare,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,6.436048346524244e-05,2647
47,E1,TrialList1,void,couch,store,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.0001370763665863916,885
48,E1,TrialList1,void,couch,weekend,1,void-couch,"['angry', 'adore', 'burglar', 'rumor', 'depth', 'anchor', 'exam', 'algebra', 'giggle', 'abnormal', 'instruction', 'write', 'outfit', 'bandanna', 'pen', 'lead', 'void', 'couch', 'yarn', 'better']",e1_board1_words,swow,0.00020121962067989814,521
103,E1,TrialList2,beginning,brake,abrupt,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0002043687011060128,499
104,E1,TrialList2,beginning,brake,bicycle,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0001655845125513129,617
105,E1,TrialList2,beginning,brake,bike,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00026720827220708343,368
106,E1,TrialList2,beginning,brake,car,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.004107346945925991,23
107,E1,TrialList2,beginning,brake,cautious,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,3.761549018971625e-05,3673
108,E1,TrialList2,beginning,brake,drive,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.002158822762546527,34
109,E1,TrialList2,beginning,brake,driver,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.001313993217422242,55
110,E1,TrialList2,beginning,brake,end,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.01875105697199956,6
111,E1,TrialList2,beginning,brake,ignition,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.004095898653014636,24
112,E1,TrialList2,beginning,brake,license,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00046078571343493685,189
113,E1,TrialList2,beginning,brake,manual,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0002478305807071335,401
114,E1,TrialList2,beginning,brake,new,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.001210458767114287,59
115,E1,TrialList2,beginning,brake,race,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0005958668974528378,131
116,E1,TrialList2,beginning,brake,restart,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00020923760831351152,483
117,E1,TrialList2,beginning,brake,slow,2,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00028687462786615637,338
118,E1,TrialList2,beginning,brake,start,9,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0654415116786185,0
119,E1,TrialList2,beginning,brake,stop,2,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.020861443586458257,5
120,E1,TrialList2,beginning,brake,stoplight,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00010553462495032349,1047
121,E1,TrialList2,beginning,brake,time,2,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0006307812074581702,127
122,E1,TrialList2,beginning,brake,tricycle,1,beginning-brake,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,2.9712635226245485e-05,4758
123,E1,TrialList2,birds,aircraft,flight,8,birds-aircraft,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.26037125483745,0
124,E1,TrialList2,birds,aircraft,fly,20,birds-aircraft,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.18583898737938448,2
125,E1,TrialList2,birds,aircraft,sky,2,birds-aircraft,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00015647900482817245,44
127,E1,TrialList2,school,stop,break,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0006209042936212365,164
128,E1,TrialList2,school,stop,bus,6,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0008376049796710316,127
129,E1,TrialList2,school,stop,cancel,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.003946015707663593,37
130,E1,TrialList2,school,stop,children,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0005863251980394831,176
131,E1,TrialList2,school,stop,class,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.014695865334056668,5
132,E1,TrialList2,school,stop,cross,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,4.629985732071092e-05,2693
133,E1,TrialList2,school,stop,crosswalk,3,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,2.2108259446689246e-05,5756
134,E1,TrialList2,school,stop,education,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00758215649201343,15
135,E1,TrialList2,school,stop,end,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00044090996023628915,228
136,E1,TrialList2,school,stop,graduate,3,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.004022838095553946,35
137,E1,TrialList2,school,stop,graduation,2,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0016500389533723402,68
138,E1,TrialList2,school,stop,learn,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.009705178045177834,8
139,E1,TrialList2,school,stop,red,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.00016734804068712326,597
140,E1,TrialList2,school,stop,safety,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,9.005606102283097e-05,1232
141,E1,TrialList2,school,stop,schedule,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0003139636344723481,307
142,E1,TrialList2,school,stop,sign,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,0.0032894462490936256,44
143,E1,TrialList2,school,stop,sky,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,3.088015977245486e-05,4157
144,E1,TrialList2,school,stop,summer,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,6.605318840384285e-05,1756
146,E1,TrialList2,school,stop,vacation,1,school-stop,"['alto', 'faith', 'beginning', 'brake', 'birds', 'aircraft', 'foam', 'laundry', 'gas', 'slick', 'grace', 'perform', 'killer', 'riot', 'knife', 'trigger', 'school', 'stop', 'sphinx', 'bandit']",e1_board2_words,swow,6.078190978661828e-05,1932
148,E1,TrialList3,circle,dance,art,1,circle-dance,"['circle', 'dance', 'day', 'dark', 'famine', 'calorie', 'hundred', 'economy', 'ill', 'aid', 'jeans', 'blood', 'lion', 'stripes', 'literature', 'college', 'nurse', 'lawyer', 'wicked', 'disgust']",e1_board3_words,swow,0.00013197248042041184,775
149,E1,TrialList3,circle,dance,campfire,1,circle-dance,"['circle', 'dance', 'day', 'dark', 'famine', 'calorie', 'hundred', 'economy', 'ill', 'aid', 'jeans', 'blood', 'lion', 'stripes', 'literature', 'college', 'nurse', 'lawyer', 'wicked', 'disgust']",e1_board3_words,swow,1.679175040052968e-05,8031
