wordpair,Level,candidate_type,type,n_steps,n_model_candidates,n_human_candidates,n_intersection,intersection
travel-ankle,hard,clueOption1,union,8,3856,29,20,"['foot', 'run', 'walking', 'moving', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,union,16,5965,29,22,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,union,32,7927,29,22,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,union,64,9561,29,22,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,union,128,10774,29,22,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'injury']"
travel-ankle,hard,clueOption1,union,256,11497,29,23,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'probation', 'injury']"
travel-ankle,hard,clueOption1,union,512,11899,29,23,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'probation', 'injury']"
travel-ankle,hard,clueOption1,union,1024,12082,29,23,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'probation', 'injury']"
travel-ankle,hard,clueOption1,union,2048,12160,29,23,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'probation', 'injury']"
travel-ankle,hard,clueOption1,union,4096,12184,29,23,"['foot', 'run', 'walking', 'hike', 'moving', 'arrest', 'feet', 'suitcase', 'bracelet', 'walk', 'vacation', 'basketball', 'plane', 'sprain', 'boots', 'wheelchair', 'broke', 'boot', 'hiking', 'movement', 'shoes', 'probation', 'injury']"
travel-ankle,hard,clueOption2,intersection,2,2,40,1,['walk']
travel-ankle,hard,clueOption2,intersection,4,271,40,13,"['foot', 'vacation', 'trip', 'body', 'run', 'fly', 'walking', 'dance', 'moving', 'journey', 'legs', 'shoes', 'walk']"
travel-ankle,hard,clueOption2,intersection,8,1146,40,19,"['foot', 'run', 'walking', 'moving', 'feet', 'carry', 'shoe', 'journey', 'walk', 'body', 'vacation', 'move', 'legs', 'trip', 'fly', 'boat', 'dance', 'sports', 'shoes']"
travel-ankle,hard,clueOption2,intersection,16,2590,40,27,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'carry', 'shoe', 'journey', 'walk', 'body', 'vacation', 'move', 'basketball', 'sandals', 'leg', 'boots', 'legs', 'trip', 'fly', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail']"
travel-ankle,hard,clueOption2,intersection,32,4356,40,30,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'boots', 'legs', 'trip', 'fly', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail']"
travel-ankle,hard,clueOption2,intersection,64,6314,40,35,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,intersection,128,8382,40,35,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,intersection,256,10058,40,35,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,intersection,512,11141,40,35,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,intersection,1024,11744,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,intersection,2048,12009,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,intersection,4096,12122,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,union,2,185,40,26,"['foot', 'run', 'walking', 'moving', 'destination', 'feet', 'suitcase', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'leg', 'sprain', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'boat', 'shoes']"
travel-ankle,hard,clueOption2,union,4,1779,40,29,"['foot', 'run', 'walking', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'leg', 'sprain', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'boat', 'dance', 'sports', 'shoes']"
travel-ankle,hard,clueOption2,union,8,3856,40,32,"['foot', 'run', 'walking', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'boat', 'dance', 'foul', 'sports', 'shoes']"
travel-ankle,hard,clueOption2,union,16,5965,40,34,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail']"
travel-ankle,hard,clueOption2,union,32,7927,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,union,64,9561,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,union,128,10774,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,union,256,11497,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,union,512,11899,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,union,1024,12082,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,union,2048,12160,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption2,union,4096,12184,40,37,"['foot', 'run', 'walking', 'hike', 'moving', 'destination', 'feet', 'suitcase', 'carry', 'shoe', 'journey', 'visit', 'walk', 'body', 'vacation', 'move', 'basketball', 'Hawaii', 'sandals', 'leg', 'sprain', 'sneakers', 'boots', 'legs', 'heel', 'trip', 'pivot', 'fly', 'ski', 'boat', 'dance', 'foul', 'sports', 'shoes', 'trail', 'mobility', 'gymnastics']"
travel-ankle,hard,clueOption3,intersection,2,2,38,1,['walk']
travel-ankle,hard,clueOption3,intersection,4,271,38,14,"['foot', 'vacation', 'body', 'walking', 'fly', 'plane', 'moving', 'running', 'step', 'journey', 'legs', 'shoes', 'place', 'walk']"
travel-ankle,hard,clueOption3,intersection,8,1146,38,20,"['foot', 'walking', 'moving', 'journey', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'legs', 'transport', 'fly', 'holiday', 'world', 'movement', 'shoes', 'adventure', 'place', 'step']"
travel-ankle,hard,clueOption3,intersection,16,2590,38,25,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,intersection,32,4356,38,27,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,intersection,64,6314,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,intersection,128,8382,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,intersection,256,10058,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,intersection,512,11141,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption3,intersection,1024,11744,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption3,intersection,2048,12009,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption3,intersection,4096,12122,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,2,185,38,19,"['foot', 'walking', 'moving', 'journey', 'walk', 'body', 'vacation', 'move', 'plane', 'boots', 'legs', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'shoes', 'adventure']"
travel-ankle,hard,clueOption3,union,4,1779,38,25,"['foot', 'walking', 'moving', 'journey', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,8,3856,38,26,"['foot', 'fatigue', 'walking', 'moving', 'journey', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,16,5965,38,27,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,32,7927,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,64,9561,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,128,10774,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,256,11497,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'adventure', 'place', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,512,11899,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,1024,12082,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,2048,12160,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption3,union,4096,12184,38,28,"['foot', 'fatigue', 'walking', 'hike', 'moving', 'journey', 'reference', 'walk', 'body', 'vacation', 'move', 'plane', 'running', 'boots', 'legs', 'fragile', 'transport', 'fly', 'holiday', 'twist', 'traverse', 'world', 'movement', 'shoes', 'place', 'adventure', 'injury', 'step']"
travel-ankle,hard,clueOption4,intersection,2,2,11,1,['walk']
travel-ankle,hard,clueOption4,intersection,4,271,11,4,"['foot', 'walking', 'body', 'walk']"
travel-ankle,hard,clueOption4,intersection,8,1146,11,5,"['foot', 'body', 'transport', 'walking', 'walk']"
travel-ankle,hard,clueOption4,intersection,16,2590,11,6,"['foot', 'body', 'transport', 'walking', 'sandals', 'walk']"
travel-ankle,hard,clueOption4,intersection,32,4356,11,6,"['foot', 'body', 'transport', 'walking', 'sandals', 'walk']"
travel-ankle,hard,clueOption4,intersection,64,6314,11,7,"['foot', 'body', 'transport', 'walking', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,intersection,128,8382,11,7,"['foot', 'body', 'transport', 'walking', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,intersection,256,10058,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,intersection,512,11141,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,intersection,1024,11744,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,intersection,2048,12009,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,intersection,4096,12122,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,2,185,11,5,"['body', 'foot', 'transport', 'walking', 'walk']"
travel-ankle,hard,clueOption4,union,4,1779,11,5,"['foot', 'body', 'transport', 'walking', 'walk']"
travel-ankle,hard,clueOption4,union,8,3856,11,7,"['foot', 'body', 'transport', 'walking', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,16,5965,11,7,"['foot', 'body', 'transport', 'walking', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,32,7927,11,8,"['foot', 'body', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,64,9561,11,8,"['foot', 'body', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,128,10774,11,8,"['foot', 'body', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,256,11497,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,512,11899,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,1024,12082,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,2048,12160,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption4,union,4096,12184,11,8,"['body', 'foot', 'transport', 'walking', 'exploring', 'sandals', 'sneakers', 'walk']"
travel-ankle,hard,clueOption5,intersection,2,2,6,0,[]
travel-ankle,hard,clueOption5,intersection,4,271,6,3,"['foot', 'drive', 'run']"
travel-ankle,hard,clueOption5,intersection,8,1146,6,5,"['foot', 'jogging', 'run', 'drive', 'feet']"
travel-ankle,hard,clueOption5,intersection,16,2590,6,6,"['foot', 'jogging', 'run', 'drive', 'feet', 'boots']"
travel-ankle,hard,clueOption5,intersection,32,4356,6,6,"['foot', 'jogging', 'run', 'drive', 'feet', 'boots']"
travel-ankle,hard,clueOption5,intersection,64,6314,6,6,"['foot', 'jogging', 'run', 'drive', 'feet', 'boots']"
travel-ankle,hard,clueOption5,intersection,128,8382,6,6,"['foot', 'jogging', 'run', 'drive', 'feet', 'boots']"
travel-ankle,hard,clueOption5,intersection,256,10058,6,6,"['foot', 'jogging', 'run', 'drive', 'feet', 'boots']"
travel-ankle,hard,clueOption5,intersection,512,11141,6,6,"['foot', 'jogging', 'run', 'drive', 'feet', 'boots']"
