,boardnames,wordpair,Clue1,clue_score,clue_rank,alpha,Model
0,e1_board2_words,beginning-brake,new,9.104207319467122e-05,4277,0.0,swow
0,e1_board2_words,beginning-brake,race,6.360234725030564e-05,9847,0.0,swow
0,e1_board2_words,beginning-brake,restart,9.518574045378176e-05,3328,0.0,swow
0,e1_board2_words,beginning-brake,slow,5.872211017463971e-05,10474,0.0,swow
0,e1_board2_words,beginning-brake,start,9.423255660694077e-05,3534,0.0,swow
0,e1_board2_words,beginning-brake,stop,4.6859709192437875e-05,11632,0.0,swow
0,e1_board2_words,beginning-brake,stoplight,5.423990776151979e-05,11004,0.0,swow
0,e1_board2_words,beginning-brake,time,8.068817592114396e-05,6668,0.0,swow
0,e1_board2_words,beginning-brake,tricycle,7.443979038330832e-05,7944,0.0,swow
0,e1_board2_words,birds-aircraft,flight,9.129154648465776e-05,4274,0.0,swow
0,e1_board2_words,birds-aircraft,fly,9.377391399836111e-05,3708,0.0,swow
0,e1_board2_words,birds-aircraft,sky,7.000792185907949e-05,8872,0.0,swow
0,e1_board2_words,birds-aircraft,turbine,NA,NA,0.0,swow
0,e1_board2_words,school-stop,break,6.26748414806284e-05,10020,0.0,swow
0,e1_board2_words,school-stop,bus,4.2184326273306395e-05,11801,0.0,swow
0,e1_board2_words,school-stop,cancel,5.692367307633209e-05,10706,0.0,swow
0,e1_board2_words,school-stop,children,6.755170762481098e-05,9300,0.0,swow
0,e1_board2_words,school-stop,class,7.082416110638015e-05,8752,0.0,swow
0,e1_board2_words,school-stop,cross,4.565377877839918e-05,11611,0.0,swow
0,e1_board2_words,school-stop,crosswalk,7.695947973491413e-05,7543,0.0,swow
0,e1_board2_words,school-stop,education,9.741395685112458e-05,2884,0.0,swow
0,e1_board2_words,school-stop,end,5.768515358002942e-05,10622,0.0,swow
0,e1_board2_words,school-stop,graduate,8.727716554545468e-05,5228,0.0,swow
0,e1_board2_words,school-stop,graduation,7.334354957737422e-05,8288,0.0,swow
0,e1_board2_words,school-stop,learn,9.524606036097432e-05,3339,0.0,swow
0,e1_board2_words,school-stop,red,6.592936372162961e-05,9535,0.0,swow
0,e1_board2_words,school-stop,safety,3.295757569940521e-05,12145,0.0,swow
0,e1_board2_words,school-stop,schedule,8.987506775658303e-05,4608,0.0,swow
0,e1_board2_words,school-stop,sign,4.98048661233957e-05,11342,0.0,swow
0,e1_board2_words,school-stop,sky,4.223500040970127e-05,11796,0.0,swow
0,e1_board2_words,school-stop,summer,6.840809366158368e-05,9193,0.0,swow
0,e1_board2_words,school-stop,suspension,NA,NA,0.0,swow
0,e1_board2_words,school-stop,vacation,6.382348412388619e-05,9872,0.0,swow
0,e1_board2_words,school-stop,washu,NA,NA,0.0,swow
0,e1_board3_words,circle-dance,art,9.354987556312975e-05,4192,0.0,swow
0,e1_board3_words,circle-dance,campfire,5.780158401661187e-05,10235,0.0,swow
0,e1_board3_words,circle-dance,celebration,7.85794925456074e-05,7285,0.0,swow
0,e1_board3_words,circle-dance,choreography,NA,NA,0.0,swow
0,e1_board3_words,circle-dance,circus,0.00011218066954874579,813,0.0,swow
0,e1_board3_words,circle-dance,formation,7.073455463736611e-05,8639,0.0,swow
0,e1_board3_words,circle-dance,group,7.212457897231532e-05,8438,0.0,swow
0,e1_board3_words,circle-dance,hula,0.00012665120377393553,17,0.0,swow
0,e1_board3_words,circle-dance,K-pop,NA,NA,0.0,swow
0,e1_board3_words,circle-dance,mixer,6.536002860762618e-05,9393,0.0,swow
0,e1_board3_words,circle-dance,moshpit,NA,NA,0.0,swow
0,e1_board3_words,circle-dance,move,9.985260377474453e-05,2813,0.0,swow
0,e1_board3_words,circle-dance,movement,8.438657319457065e-05,6145,0.0,swow
0,e1_board3_words,circle-dance,party,6.5587194696874e-05,9350,0.0,swow
0,e1_board3_words,circle-dance,performance,8.501285771611862e-05,6024,0.0,swow
0,e1_board3_words,circle-dance,prom,7.347624701003151e-05,8219,0.0,swow
0,e1_board3_words,circle-dance,ritual,6.905575213224145e-05,8905,0.0,swow
0,e1_board3_words,circle-dance,round,9.487850228455059e-05,3890,0.0,swow
0,e1_board3_words,circle-dance,shape,0.00010673031153172524,1578,0.0,swow
0,e1_board3_words,circle-dance,social,5.760652455481333e-05,10251,0.0,swow
0,e1_board3_words,circle-dance,spin,9.92676107947457e-05,2943,0.0,swow
0,e1_board3_words,circle-dance,square,0.00010949413647172684,1134,0.0,swow
0,e1_board3_words,circle-dance,squaredance,NA,NA,0.0,swow
0,e1_board3_words,circle-dance,twirl,0.000102014101415774,2394,0.0,swow
0,e1_board3_words,famine-calorie,anorexia,5.263060894698793e-05,10971,0.0,swow
0,e1_board3_words,famine-calorie,appetite,9.335443453863203e-05,3978,0.0,swow
0,e1_board3_words,famine-calorie,deficit,3.154361559272964e-05,12128,0.0,swow
0,e1_board3_words,famine-calorie,diet,8.195342039991356e-05,6679,0.0,swow
0,e1_board3_words,famine-calorie,food,8.177506631433092e-05,6721,0.0,swow
0,e1_board3_words,famine-calorie,hunger,8.253312404760482e-05,6548,0.0,swow
0,e1_board3_words,famine-calorie,potato,0.00011723603406076609,202,0.0,swow
0,e1_board3_words,famine-calorie,starve,8.469005892223637e-05,6046,0.0,swow
0,e1_board3_words,famine-calorie,Benjamin,NA,NA,0.0,swow
0,e1_board3_words,hundred-economy,cash,8.474927167345614e-05,5880,0.0,swow
0,e1_board3_words,hundred-economy,dollar,8.717163468142616e-05,5303,0.0,swow
0,e1_board3_words,hundred-economy,dollars,8.90702836540086e-05,4873,0.0,swow
0,e1_board3_words,hundred-economy,fortune,7.810313279851054e-05,7386,0.0,swow
0,e1_board3_words,hundred-economy,large,8.85396830340219e-05,4982,0.0,swow
0,e1_board3_words,hundred-economy,monetary,9.217810522315052e-05,4133,0.0,swow
0,e1_board3_words,hundred-economy,money,7.758790655130156e-05,7490,0.0,swow
0,e1_board3_words,hundred-economy,monopoly,8.239442389275e-05,6416,0.0,swow
0,e1_board3_words,hundred-economy,number,0.00010307938664488104,1885,0.0,swow
0,e1_board3_words,hundred-economy,percentage,8.951309904748654e-05,4760,0.0,swow
0,e1_board3_words,hundred-economy,price,8.356308906446492e-05,6168,0.0,swow
0,e1_board3_words,hundred-economy,rich,7.994583792928304e-05,6992,0.0,swow
0,e1_board3_words,hundred-economy,stock,6.999337730977399e-05,8912,0.0,swow
0,e1_board3_words,hundred-economy,Wall Street,8.38738593899609e-05,6093,0.0,swow
0,e1_board4_words,corpse-fight,abuse,7.40592525809773e-05,8023,0.0,swow
0,e1_board4_words,corpse-fight,battle,0.00010470695087748089,1750,0.0,swow
0,e1_board4_words,corpse-fight,body,5.943713528288005e-05,10202,0.0,swow
0,e1_board4_words,corpse-fight,dark,6.509244754265787e-05,9418,0.0,swow
0,e1_board4_words,corpse-fight,dead,8.23150600686256e-05,6380,0.0,swow
0,e1_board4_words,corpse-fight,death,8.69751390654438e-05,5334,0.0,swow
0,e1_board4_words,corpse-fight,fatal,9.845911316095917e-05,2915,0.0,swow
0,e1_board4_words,corpse-fight,funeral,9.643849425829797e-05,3287,0.0,swow
0,e1_board4_words,corpse-fight,gladiator,0.00010259478663100781,2097,0.0,swow
0,e1_board4_words,corpse-fight,gun,0.00010810086576116434,1231,0.0,swow
0,e1_board4_words,corpse-fight,Hamilton,NA,NA,0.0,swow
0,e1_board4_words,corpse-fight,kill,9.797277780265672e-05,3013,0.0,swow
0,e1_board4_words,corpse-fight,knockout,NA,NA,0.0,swow
0,e1_board4_words,corpse-fight,murder,9.167063216274005e-05,4301,0.0,swow
0,e1_board4_words,corpse-fight,war,9.633561738419766e-05,3307,0.0,swow
0,e1_board4_words,corpse-fight,zombie,8.062251820349434e-05,6736,0.0,swow
0,e1_board4_words,graph-copy,analyze,8.231182298164485e-05,6396,0.0,swow
0,e1_board4_words,graph-copy,cheat,0.00010151150045702333,2272,0.0,swow
0,e1_board4_words,graph-copy,computer,8.735720165037897e-05,5253,0.0,swow
0,e1_board4_words,graph-copy,data,7.44433361983391e-05,7979,0.0,swow
0,e1_board4_words,graph-copy,document,9.518148716752859e-05,3550,0.0,swow
0,e1_board4_words,graph-copy,excel,8.41581035857953e-05,5985,0.0,swow
0,e1_board4_words,graph-copy,homework,4.792801328592615e-05,11418,0.0,swow
0,e1_board4_words,graph-copy,math,9.559605532853481e-05,3455,0.0,swow
0,e1_board4_words,graph-copy,Microsoft,8.403002550183077e-05,6013,0.0,swow
0,e1_board4_words,graph-copy,note,8.876060300231592e-05,4964,0.0,swow
0,e1_board4_words,graph-copy,number,0.0001009022245634173,2378,0.0,swow
0,e1_board4_words,graph-copy,office,6.598488139468275e-05,9330,0.0,swow
0,e1_board4_words,graph-copy,paper,8.594702692400398e-05,5569,0.0,swow
0,e1_board4_words,graph-copy,photo,0.00011786587352514081,270,0.0,swow
0,e1_board4_words,graph-copy,program,7.439444439114933e-05,7991,0.0,swow
0,e1_board4_words,graph-copy,spreadsheet,8.24198321000081e-05,6370,0.0,swow
0,e1_board4_words,graph-copy,statistic,9.531961915124368e-05,3523,0.0,swow
0,e1_board4_words,graph-copy,work,6.434831743984908e-05,9578,0.0,swow
0,e1_board4_words,kitchen-egg,bacon,9.904235054456682e-05,2534,0.0,swow
0,e1_board4_words,kitchen-egg,bake,8.412154117741347e-05,5856,0.0,swow
0,e1_board4_words,kitchen-egg,breakfast,9.91450264142156e-05,2507,0.0,swow
0,e1_board4_words,kitchen-egg,chicken,9.238603603107659e-05,3935,0.0,swow
0,e1_board4_words,kitchen-egg,cook,8.056261895734387e-05,6701,0.0,swow
0,e1_board4_words,kitchen-egg,domestic,4.282538207936705e-05,11896,0.0,swow
0,e1_board4_words,kitchen-egg,food,7.113705931025638e-05,8647,0.0,swow
0,e1_board4_words,kitchen-egg,fry,8.67630697912112e-05,5243,0.0,swow
0,e1_board4_words,kitchen-egg,omelet,0.00010160173400810376,2032,0.0,swow
0,e1_board4_words,kitchen-egg,scramble,9.95069247203751e-05,2426,0.0,swow
0,e1_board5_words,homeless-apartment,food,5.66050031115386e-05,10876,0.0,swow
0,e1_board5_words,homeless-apartment,gentrification,NA,NA,0.0,swow
0,e1_board5_words,homeless-apartment,hobo,0.00011155766758703333,525,0.0,swow
0,e1_board5_words,homeless-apartment,home,6.912228143516953e-05,9144,0.0,swow
0,e1_board5_words,homeless-apartment,house,7.717826391288743e-05,7618,0.0,swow
0,e1_board5_words,homeless-apartment,live,7.436111022402475e-05,8194,0.0,swow
0,e1_board5_words,homeless-apartment,living,5.6097212258594146e-05,10931,0.0,swow
0,e1_board5_words,homeless-apartment,price control,NA,NA,0.0,swow
0,e1_board5_words,homeless-apartment,residence,9.38549753533496e-05,3574,0.0,swow
0,e1_board5_words,homeless-apartment,shelter,7.971684739587178e-05,7048,0.0,swow
0,e1_board5_words,homeless-apartment,sleep,0.00010038244602482642,2107,0.0,swow
0,e1_board5_words,homeless-apartment,welfare,7.287955721999578e-05,8459,0.0,swow
0,e1_board5_words,near-astronaut,discover,7.832722722774482e-05,7298,0.0,swow
0,e1_board5_words,near-astronaut,distance,9.590150541225964e-05,3140,0.0,swow
0,e1_board5_words,near-astronaut,far,9.661454426915913e-05,2985,0.0,swow
0,e1_board5_words,near-astronaut,land,5.260625683888924e-05,11189,0.0,swow
0,e1_board5_words,near-astronaut,mars,NA,NA,0.0,swow
0,e1_board5_words,near-astronaut,moon,7.11192405061192e-05,8703,0.0,swow
0,e1_board5_words,near-astronaut,NASA,8.609163370789601e-05,5500,0.0,swow
0,e1_board5_words,near-astronaut,orbit,8.342066621968403e-05,6155,0.0,swow
0,e1_board5_words,near-astronaut,rocket,7.434649445710958e-05,8090,0.0,swow
0,e1_board5_words,near-astronaut,space,7.067405685177026e-05,8789,0.0,swow
0,e1_board5_words,near-astronaut,space station,NA,NA,0.0,swow
0,e1_board5_words,near-astronaut,spatial,NA,NA,0.0,swow
0,e1_board5_words,near-astronaut,train,8.55010518460998e-05,5641,0.0,swow
0,e1_board5_words,onion-cigarette,breath,9.224446104788504e-05,3894,0.0,swow
0,e1_board5_words,onion-cigarette,burn,7.9184892586546e-05,7268,0.0,swow
0,e1_board5_words,onion-cigarette,cough,9.731013858036847e-05,2692,0.0,swow
0,e1_board5_words,onion-cigarette,cry,5.7945200937742135e-05,10736,0.0,swow
0,e1_board5_words,onion-cigarette,disgust,8.99256055842934e-05,4503,0.0,swow
0,e1_board5_words,onion-cigarette,gross,9.896491218611174e-05,2310,0.0,swow
0,e1_board5_words,onion-cigarette,halitosis,NA,NA,0.0,swow
0,e1_board5_words,onion-cigarette,heat,8.38443254098489e-05,6081,0.0,swow
0,e1_board5_words,onion-cigarette,lung,0.00010023152625784379,2067,0.0,swow
0,e1_board5_words,onion-cigarette,mouth,7.994805578329793e-05,7097,0.0,swow
0,e1_board5_words,onion-cigarette,odor,9.74924368720391e-05,2648,0.0,swow
0,e1_board5_words,onion-cigarette,plant,4.1079426830716615e-05,11891,0.0,swow
0,e1_board5_words,onion-cigarette,pungent,9.61828652919236e-05,2937,0.0,swow
0,e1_board5_words,onion-cigarette,smell,8.071340664090138e-05,6918,0.0,swow
0,e1_board5_words,onion-cigarette,smelly,8.481531404032323e-05,5818,0.0,swow
0,e1_board5_words,onion-cigarette,stink,9.542027560881422e-05,3116,0.0,swow
0,e1_board5_words,onion-cigarette,strong,8.979605341220812e-05,4535,0.0,swow
0,e1_board6_words,definition-assist,clarify,7.93317029126721e-05,6912,0.0,swow
0,e1_board6_words,definition-assist,dictionary,0.00010232262464467312,1890,0.0,swow
0,e1_board6_words,definition-assist,explain,8.832365007211693e-05,4805,0.0,swow
0,e1_board6_words,definition-assist,help,7.771011604775715e-05,7269,0.0,swow
0,e1_board6_words,definition-assist,helpful,8.298309268063601e-05,6059,0.0,swow
0,e1_board6_words,definition-assist,instructor,0.00011002999225314118,826,0.0,swow
0,e1_board6_words,definition-assist,reference,8.136894686497034e-05,6437,0.0,swow
0,e1_board6_words,definition-assist,rondo,NA,NA,0.0,swow
0,e1_board6_words,definition-assist,synonym,0.00011392149451662854,463,0.0,swow
0,e1_board6_words,definition-assist,teach,9.786689418237468e-05,2705,0.0,swow
0,e1_board6_words,definition-assist,thesaurus,0.00010722353606701357,1135,0.0,swow
0,e1_board6_words,definition-assist,vocabulary,0.00010009963744377424,2282,0.0,swow
0,e1_board6_words,pants-collar,apparel,8.699106533517353e-05,5107,0.0,swow
0,e1_board6_words,pants-collar,attire,9.593454945890206e-05,3058,0.0,swow
0,e1_board6_words,pants-collar,belt,7.715574060997053e-05,7374,0.0,swow
0,e1_board6_words,pants-collar,cloth,6.690248739164286e-05,9465,0.0,swow
0,e1_board6_words,pants-collar,clothes,8.01039902397712e-05,6722,0.0,swow
0,e1_board6_words,pants-collar,shirt,7.18866134278445e-05,8511,0.0,swow
0,e1_board6_words,pants-collar,suit,7.038980628563231e-05,8806,0.0,swow
0,e1_board6_words,war-quiet,apocalypse,9.386700748956381e-05,3560,0.0,swow
0,e1_board6_words,war-quiet,battle,6.280734597213248e-05,10186,0.0,swow
0,e1_board6_words,war-quiet,battlefield,6.850891415706382e-05,9127,0.0,swow
0,e1_board6_words,war-quiet,ceasefire,NA,NA,0.0,swow
0,e1_board6_words,war-quiet,death,8.432088161841611e-05,5776,0.0,swow
0,e1_board6_words,war-quiet,disagreement,8.32548982004772e-05,6039,0.0,swow
0,e1_board6_words,war-quiet,drone,8.091924143781268e-05,6551,0.0,swow
0,e1_board6_words,war-quiet,fight,7.020087035127847e-05,8787,0.0,swow
0,e1_board6_words,war-quiet,loud,9.642360906343217e-05,2993,0.0,swow
0,e1_board6_words,war-quiet,melancholy,9.526927303720562e-05,3245,0.0,swow
0,e1_board6_words,war-quiet,negotiate,9.311999151385771e-05,3723,0.0,swow
0,e1_board6_words,war-quiet,nerve-racking,NA,NA,0.0,swow
0,e1_board6_words,war-quiet,noise,8.770550546228447e-05,4958,0.0,swow
0,e1_board6_words,war-quiet,nuclear,5.6591609005059206e-05,10963,0.0,swow
0,e1_board6_words,war-quiet,peace,7.547153823815585e-05,7719,0.0,swow
0,e1_board6_words,war-quiet,settlement,6.070040819185508e-05,10465,0.0,swow
0,e1_board6_words,war-quiet,silence,0.00010050524094222815,2197,0.0,swow
0,e1_board6_words,war-quiet,silent,0.00010881541172452049,883,0.0,swow
0,e1_board6_words,war-quiet,spies,9.506332613595534e-05,3285,0.0,swow
0,e1_board6_words,war-quiet,stealth,9.1860276734867e-05,3997,0.0,swow
0,e1_board6_words,war-quiet,veteran,7.197109513547134e-05,8444,0.0,swow
0,e1_board6_words,war-quiet,yell,0.00010093200465657584,2107,0.0,swow
0,e1_board7_words,flat-alike,affect,0.00010661858357436436,2181,0.0,swow
0,e1_board7_words,flat-alike,angle,0.00011586515835643332,1054,0.0,swow
0,e1_board7_words,flat-alike,bland,8.160030157694369e-05,6210,0.0,swow
0,e1_board7_words,flat-alike,boring,9.205577920947948e-05,4452,0.0,swow
0,e1_board7_words,flat-alike,comparison,0.00010030913624962075,3081,0.0,swow
0,e1_board7_words,flat-alike,description,8.879584560296128e-05,4993,0.0,swow
0,e1_board7_words,flat-alike,desert,0.00010026852366087017,3088,0.0,swow
0,e1_board7_words,flat-alike,feet,9.269584079448362e-05,4366,0.0,swow
0,e1_board7_words,flat-alike,geometric,0.00012709421825469607,258,0.0,swow
0,e1_board7_words,flat-alike,Kansas,9.659897968833229e-05,3699,0.0,swow
0,e1_board7_words,flat-alike,pancake,0.00011248485391846712,1425,0.0,swow
0,e1_board7_words,flat-alike,paper,6.30765861282293e-05,9170,0.0,swow
0,e1_board7_words,flat-alike,plain,8.344741636591511e-05,5888,0.0,swow
0,e1_board7_words,flat-alike,plateau,NA,NA,0.0,swow
0,e1_board7_words,flat-alike,same,0.00012159687880221949,593,0.0,swow
0,e1_board7_words,flat-alike,shoe,0.00010627738901038769,2234,0.0,swow
0,e1_board7_words,flat-alike,sidewalk,0.00010949261225666103,1775,0.0,swow
0,e1_board7_words,flat-alike,similar,0.0001265981987705815,280,0.0,swow
0,e1_board7_words,flat-alike,smooth,5.222723488663505e-05,10555,0.0,swow
0,e1_board7_words,flat-alike,Stanley,NA,NA,0.0,swow
0,e1_board7_words,flat-alike,tire,6.90083222567958e-05,8283,0.0,swow
0,e1_board7_words,flat-alike,unchanging,NA,NA,0.0,swow
0,e1_board7_words,flat-alike,uniform,6.47459904976633e-05,8929,0.0,swow
0,e1_board7_words,flat-alike,wall,5.4069715911889904e-05,10336,0.0,swow
0,e1_board7_words,flat-alike,antonym,NA,NA,0.0,swow
0,e1_board7_words,heavy-feather,eagle,9.793160562829698e-05,3443,0.0,swow
0,e1_board7_words,heavy-feather,float,2.9391851279009202e-05,12130,0.0,swow
0,e1_board7_words,heavy-feather,heart,7.232059117372792e-05,7831,0.0,swow
0,e1_board7_words,heavy-feather,light,8.834289372118975e-05,5086,0.0,swow
0,e1_board7_words,heavy-feather,lightweight,6.715633299871422e-05,8592,0.0,swow
0,e1_board7_words,heavy-feather,might,0.00012015302324451504,686,0.0,swow
0,e1_board7_words,heavy-feather,opposite,9.002058120559317e-05,4816,0.0,swow
0,e1_board7_words,heavy-feather,ostrich,0.00010554661126169233,2289,0.0,swow
0,e1_board7_words,heavy-feather,oxymoron,NA,NA,0.0,swow
0,e1_board7_words,heavy-feather,penguin,5.5132603025367176e-05,10202,0.0,swow
0,e1_board7_words,heavy-feather,pound,6.857551593281806e-05,8393,0.0,swow
0,e1_board7_words,heavy-feather,weight,9.942808375199098e-05,3210,0.0,swow
0,e1_board7_words,heavy-feather,weightless,8.075503329454874e-05,6380,0.0,swow
0,e1_board7_words,perjury-adultery,cheat,9.342034689507028e-05,4196,0.0,swow
0,e1_board7_words,perjury-adultery,court,0.00011158185640516251,1497,0.0,swow
0,e1_board7_words,perjury-adultery,courtroom,0.00012476248623944264,388,0.0,swow
0,e1_board7_words,perjury-adultery,crime,0.00010307221039565065,2658,0.0,swow
0,e1_board7_words,perjury-adultery,illegal,9.988524611238535e-05,3161,0.0,swow
0,e1_board7_words,perjury-adultery,law,0.00010362602023996632,2587,0.0,swow
0,e1_board7_words,perjury-adultery,lawsuit,9.033836710354926e-05,4693,0.0,swow
0,e1_board7_words,perjury-adultery,naughty,6.046060730602347e-05,9587,0.0,swow
0,e1_board7_words,perjury-adultery,sin,4.898086042908739e-05,11016,0.0,swow
0,e1_board7_words,perjury-adultery,Trump,NA,NA,0.0,swow
0,e1_board7_words,perjury-adultery,wrong,9.36870615169364e-05,4153,0.0,swow
0,e1_board7_words,perjury-adultery,wrongdoing,9.45488772901858e-05,4021,0.0,swow
0,e1_board8_words,bad-actress,attitude,5.579439123523468e-05,10818,0.0,swow
0,e1_board8_words,bad-actress,boo,0.00010162465050144514,2129,0.0,swow
0,e1_board8_words,bad-actress,c{-}list,NA,NA,0.0,swow
0,e1_board8_words,bad-actress,cringeworthy,NA,NA,0.0,swow
0,e1_board8_words,bad-actress,critic,6.544231764064327e-05,9561,0.0,swow
0,e1_board8_words,bad-actress,drama,7.954380240080015e-05,7001,0.0,swow
0,e1_board8_words,bad-actress,failure,8.180772833483286e-05,6532,0.0,swow
0,e1_board8_words,bad-actress,fake,0.0001107853535026336,678,0.0,swow
0,e1_board8_words,bad-actress,film,9.60529014368084e-05,3340,0.0,swow
0,e1_board8_words,bad-actress,imitator,NA,NA,0.0,swow
0,e1_board8_words,bad-actress,monologue,5.619258463280312e-05,10759,0.0,swow
0,e1_board8_words,bad-actress,movie,8.869008795159945e-05,4953,0.0,swow
0,e1_board8_words,bad-actress,music,8.30968902002515e-05,6225,0.0,swow
0,e1_board8_words,bad-actress,nepotism,NA,NA,0.0,swow
0,e1_board8_words,bad-actress,Riverdale,NA,NA,0.0,swow
0,e1_board8_words,bad-actress,rot,4.42186128498515e-05,11691,0.0,swow
0,e1_board8_words,bad-actress,rotten tomatoes,NA,NA,0.0,swow
0,e1_board8_words,bad-actress,soap opera,NA,NA,0.0,swow
0,e1_board8_words,bad-actress,television,7.484282425459302e-05,7988,0.0,swow
0,e1_board8_words,bad-actress,terrible,9.986425190350338e-05,2496,0.0,swow
0,e1_board8_words,bad-actress,Vanessa Hudgens,NA,NA,0.0,swow
0,e1_board8_words,bad-actress,villain,8.820159246888225e-05,5068,0.0,swow
0,e1_board8_words,breeze-bubble,air,9.209629188183723e-05,4185,0.0,swow
0,e1_board8_words,breeze-bubble,bath,7.296569298107106e-05,8361,0.0,swow
0,e1_board8_words,breeze-bubble,beach,9.459376486734224e-05,3552,0.0,swow
0,e1_board8_words,breeze-bubble,blow,9.251193700201704e-05,4066,0.0,swow
0,e1_board8_words,breeze-bubble,effect,7.835480176808941e-05,7322,0.0,swow
0,e1_board8_words,breeze-bubble,float,8.788023543540509e-05,5148,0.0,swow
0,e1_board8_words,breeze-bubble,gentle,6.452678925789455e-05,9741,0.0,swow
