"","wordpair","clue","accessibility","distinctiveness","LgSUBTLWF"
"88","lion-tiger","feline","low","high",1.672
"89","lion-tiger","cat","high","low",3.529
"90","snake-ash","molt","low","high",1
"91","hand-birth","midwife","low","high",1.477
"92","hand-birth","masturbate","low","low",1.799
"93","hand-birth","baby","high","high",4.415
"94","hand-birth","right","high","low",5.311
"95","snake-ash","black","high","high",3.933
"96","lion-tiger","animal","high","high",3.366
"97","exam-algebra","test","high","low",3.632
"98","void-couch","move","high","low",4.329
"99","giggle-abnormal","giddy","low","low",1.964
"100","void-couch","seatcheck","low","high",1
"101","exam-algebra","knowledge","low","low",3.115
"102","giggle-abnormal","funny","high","high",4.046
"103","void-couch","purchase","low","low",2.513
"104","exam-algebra","school","high","high",4.23
"105","giggle-abnormal","goofy","low","high",2.426
"106","exam-algebra","math","low","high",2.923
"107","giggle-abnormal","happy","high","low",4.23
"108","void-couch","empty","high","high",3.382
"109","quick-glow","fire","high","low",4.041
"110","cave-knight","dungeon","low","high",2.121
"111","tree-oak","deciduous","low","low",0.699
"112","quick-glow","flicker","low","high",1.556
"113","tree-oak","maple","low","high",2.22
"114","tree-oak","green","high","low",3.568
"115","quick-glow","firework","low","low",0.954
"116","quick-glow","flash","high","high",2.894
"117","cave-knight","dark","high","low",3.655
"118","cave-knight","castle","high","high",3.041
"119","tree-oak","wood","high","high",3.139
"120","cave-knight","opposite","low","low",2.89
"121","toes-dracula","person","high","low",4.036
"122","bat-bounce","move","high","low",4.329
"123","bat-bounce","hero","low","low",3.405
"124","lunch-almond","peanut","low","high",2.8
"125","lunch-almond","allergy","low","low",1.94
"126","lunch-almond","snack","high","high",2.669
"127","toes-dracula","count","high","high",3.662
"128","lunch-almond","food","high","low",3.896
"129","toes-dracula","claw","low","high",2.35
"130","toes-dracula","twilight","low","low",2.196
"131","bat-bounce","ball","high","high",3.729
"132","bat-bounce","sport","low","high",3.007
"133","army-drum","march","high","high",3.088
"134","giant-subtle","quiet","high","low",3.777
"135","army-drum","revolution","low","low",2.799
"136","giant-subtle","big","high","high",4.542
"137","happy-sad","emotion","low","high",2.627
"138","happy-sad","mood","high","high",3.24
"139","giant-subtle","subdue","low","low",1.623
"140","army-drum","bugle","low","high",1.949
"141","happy-sad","feeling","high","low",3.933
"142","army-drum","war","high","low",3.95
"143","happy-sad","oppose","low","low",2.045
"144","giant-subtle","unnoticed","low","high",1.799
"145","jump-leap","hop","high","high",2.99
"146","dream-bet","money","high","low",4.514
"147","dream-bet","luck","low","high",3.894
"148","dream-bet","dopamine","low","low",1
"149","travel-ankle","trip","low","high",3.624
"150","jump-leap","faith","low","low",3.374
"151","travel-ankle","break","high","low",4.052
"152","jump-leap","move","high","low",4.329
"153","travel-ankle","ale","low","low",2.308
"154","travel-ankle","walk","high","high",4.042
"155","dream-bet","chance","high","high",4.09
"156","jump-leap","trampoline","low","high",1.544
"157","elm-rock","wood","low","high",3.139
"158","elm-rock","landmark","low","low",1.813
"159","elm-rock","tree","high","high",3.521
"160","sit-stand","symphony","low","low",2.26
"161","crust-boot","fisherman","low","high",2.346
"162","sit-stand","chair","high","high",3.4
"163","crust-boot","mud","high","high",2.879
"164","sit-stand","position","low","high",3.566
"165","elm-rock","hard","high","low",4.196
"166","crust-boot","old","high","low",4.492
"167","sit-stand","still","high","low",4.604
"168","crust-boot","item","low","low",2.799
"169","olive-real","eat","high","low",4.109
"170","candle-wick","fire","high","high",4.041
"171","weird-trauma","minority","low","low",2.057
"172","olive-real","italian","low","low",2.29
"173","candle-wick","board","low","low",3.515
"174","weird-trauma","crazy","high","high",4.143
"175","weird-trauma","you","high","low",6.329
"176","weird-trauma","horror","low","high",2.671
"177","candle-wick","light","high","low",3.926
"178","olive-real","natural","high","high",3.335
"179","olive-real","unsugarcoated","low","high",1
"180","candle-wick","flame","low","high",2.665
"181","graph-copy","photo","low","high",3.067
"182","corpse-fight","war","low","high",3.95
"183","corpse-fight","death","high","high",4.043
"184","graph-copy","work","high","low",4.61
"185","kitchen-egg","cook","high","high",3.366
"186","corpse-fight","kill","high","low",4.363
"187","kitchen-egg","domestic","low","low",2.546
"188","kitchen-egg","omelet","low","high",2.086
"189","corpse-fight","gladiator","low","low",1.613
"190","graph-copy","cheat","low","low",2.955
"191","graph-copy","paper","high","high",3.722
"192","kitchen-egg","food","high","low",3.896
"193","homeless-apartment","food","low","low",3.896
"194","homeless-apartment","house","high","high",4.418
"195","homeless-apartment","shelter","low","high",2.775
"196","onion-cigarette","mouth","high","low",3.726
"197","onion-cigarette","smell","high","high",3.627
"198","onion-cigarette","disgust","low","low",2.152
"199","near-astronaut","mars","low","low",1
"200","near-astronaut","train","high","low",3.686
"201","onion-cigarette","pungent","low","high",1.322
"202","near-astronaut","far","high","high",4.051
"203","near-astronaut","space","low","high",3.528
"204","homeless-apartment","live","high","low",4.245
"205","feet-chapel","penny loafers","low","high",1
"206","chair-table","sit","high","high",4.201
"207","garage-bone","back","high","high",5.011
"208","chair-table","dinner","high","low",4.014
"209","chair-table","furniture","low","high",2.886
"210","chair-table","mealtime","low","low",1
"211","garage-bone","snoopy","low","low",1
"212","feet-chapel","god","high","low",4.663
"213","feet-chapel","kneel","high","high",2.436
"214","garage-bone","car","high","low",4.392
"215","garage-bone","epidermis","low","high",1.204
"216","feet-chapel","foot","low","low",3.52
"217","old-new","generation","low","high",2.792
"218","old-new","opposite","low","low",2.89
"219","old-new","age","high","high",3.606
"220","glass-cage","break","high","low",4.052
"221","east-short","small","high","high",3.804
"222","east-short","directionless","low","high",1
"223","glass-cage","contain","low","high",2.493
"224","east-short","turn","high","low",4.194
"225","glass-cage","exhibit","low","low",2.59
"226","east-short","navigate","low","low",1.996
"227","old-new","time","high","low",5
"228","glass-cage","bar","high","high",3.642
"229","hundred-economy","money","high","low",4.514
"230","circle-dance","round","high","high",3.531
"231","hundred-economy","dollars","high","high",3.602
"232","hundred-economy","wall street","low","low",1
"233","famine-calorie","diet","high","high",2.895
"234","famine-calorie","food","high","low",3.896
"235","famine-calorie","hunger","low","high",2.479
"236","famine-calorie","deficit","low","low",1.748
"237","hundred-economy","dollar","low","high",3.15
"238","circle-dance","twirl","low","high",1.833
"239","circle-dance","move","high","low",4.329
"240","circle-dance","campfire","low","low",1.813
