"wordpair","clue","guess","count"
"beginning-brake","time","brake-perform",1
"beginning-brake","time","laundry-beginning",1
"beginning-brake","time","perform-stop",1
"beginning-brake","time","school-grace",1
"beginning-brake","time","school-stop",2
"beginning-brake","time","stop-beginning",3
"beginning-brake","time","stop-brake",1
"beginning-brake","time","stop-stop",1
"beginning-brake","time","trigger-beginning",1
"beginning-brake","time","trigger-laundry",1
"birds-aircraft","flight","aircraft-aircraft",2
"birds-aircraft","flight","aircraft-alto",2
"birds-aircraft","flight","aircraft-birds",8
"birds-aircraft","flight","aircraft-faith",1
"birds-aircraft","flight","aircraft-gas",2
"birds-aircraft","flight","aircraft-killer",1
"birds-aircraft","flight","aircraft-school",1
"birds-aircraft","flight","beginning-aircraft",1
"birds-aircraft","flight","birds-aircraft",9
"birds-aircraft","flight","birds-birds",1
"birds-aircraft","flight","brake-aircraft",1
"birds-aircraft","flight","stop-aircraft",1
"birds-aircraft","fly","aircraft-aircraft",1
"birds-aircraft","fly","aircraft-alto",1
"birds-aircraft","fly","aircraft-birds",7
"birds-aircraft","fly","aircraft-brake",1
"birds-aircraft","fly","aircraft-grace",1
"birds-aircraft","fly","aircraft-killer",1
"birds-aircraft","fly","aircraft-sphinx",1
"birds-aircraft","fly","birds-aircraft",10
"birds-aircraft","fly","birds-faith",1
"birds-aircraft","fly","birds-sphinx",2
"birds-aircraft","fly","gas-birds",2
"birds-aircraft","fly","killer-birds",1
"birds-aircraft","fly","sphinx-birds",1
"birds-aircraft","sky","aircraft-aircraft",1
"birds-aircraft","sky","aircraft-alto",1
"birds-aircraft","sky","aircraft-beginning",1
"birds-aircraft","sky","aircraft-birds",7
"birds-aircraft","sky","aircraft-gas",2
"birds-aircraft","sky","birds-aircraft",15
"birds-aircraft","sky","birds-alto",1
"birds-aircraft","sky","birds-faith",1
"birds-aircraft","sky","birds-sphinx",1
"birds-aircraft","turbine","aircraft-aircraft",1
"birds-aircraft","turbine","aircraft-alto",1
"birds-aircraft","turbine","aircraft-beginning",1
"birds-aircraft","turbine","aircraft-birds",2
"birds-aircraft","turbine","aircraft-brake",2
"birds-aircraft","turbine","aircraft-gas",6
"birds-aircraft","turbine","aircraft-laundry",1
"birds-aircraft","turbine","aircraft-perform",2
"birds-aircraft","turbine","aircraft-trigger",1
"birds-aircraft","turbine","brake-stop",1
"birds-aircraft","turbine","brake-trigger",1
"birds-aircraft","turbine","gas-aircraft",4
"birds-aircraft","turbine","gas-alto",1
"birds-aircraft","turbine","gas-brake",1
"birds-aircraft","turbine","laundry-trigger",1
"birds-aircraft","turbine","riot-bandit",1
"birds-aircraft","turbine","school-laundry",1
"birds-aircraft","turbine","trigger-aircraft",1
"birds-aircraft","turbine","trigger-slick",1
"breeze-bubble","air","bow-breeze",2
"breeze-bubble","air","breeze-bad",1
"breeze-bubble","air","breeze-base",1
"breeze-bubble","air","breeze-bow",1
"breeze-bubble","air","breeze-bubble",13
"breeze-bubble","air","breeze-clarify",3
"breeze-bubble","air","breeze-deer",2
"breeze-bubble","air","breeze-deodorant",1
"breeze-bubble","air","bubble-breeze",2
"breeze-bubble","air","bubble-clarify",1
"breeze-bubble","air","clarify-bubble",1
"breeze-bubble","air","cooking-base",1
"breeze-bubble","air","deodorant-trash",1
"breeze-bubble","blow","bad-trash",1
"breeze-bubble","blow","bow-bubble",1
"breeze-bubble","blow","breeze-breeze",1
"breeze-bubble","blow","breeze-bubble",4
"breeze-bubble","blow","breeze-cooking",1
"breeze-bubble","blow","breeze-party",1
"breeze-bubble","blow","breeze-sauce",1
"breeze-bubble","blow","bubble-breeze",12
"breeze-bubble","blow","bubble-cooking",2
"breeze-bubble","blow","bubble-party",2
"breeze-bubble","blow","bubble-trash",1
"breeze-bubble","blow","communicate-bubble",1
"breeze-bubble","blow","deer-plan",1
"breeze-bubble","blow","party-bubble",1
"breeze-bubble","effect","bad-bad",1
"breeze-bubble","effect","bad-base",1
"breeze-bubble","effect","bad-communicate",2
"breeze-bubble","effect","bad-deodorant",1
"breeze-bubble","effect","bad-dominant",2
"breeze-bubble","effect","base-bad",1
"breeze-bubble","effect","breeze-sauce",1
"breeze-bubble","effect","bubble-vegetable",1
"breeze-bubble","effect","care-bad",2
"breeze-bubble","effect","care-communicate",1
"breeze-bubble","effect","care-plan",1
"breeze-bubble","effect","clarify-communicate",1
"breeze-bubble","effect","clarify-most",1
"breeze-bubble","effect","clarify-sauce",1
"breeze-bubble","effect","communicate-bad",1
"breeze-bubble","effect","communicate-clarify",1
"breeze-bubble","effect","communicate-dominant",1
"breeze-bubble","effect","deodorant-care",1
"breeze-bubble","effect","deodorant-plan",1
"breeze-bubble","effect","dominant-care",1
"breeze-bubble","effect","dominant-plan",1
"breeze-bubble","effect","party-most",1
"breeze-bubble","effect","plan-bad",1
"breeze-bubble","effect","plan-clarify",1
"breeze-bubble","effect","plan-most",1
"breeze-bubble","effect","plan-party",1
"breeze-bubble","effect","vegetable-most",1
"breeze-bubble","outside","bad-cooking",1
"breeze-bubble","outside","breeze-bubble",2
"breeze-bubble","outside","breeze-deer",6
"breeze-bubble","outside","breeze-dominant",1
"breeze-bubble","outside","breeze-party",3
"breeze-bubble","outside","breeze-vegetable",2
"breeze-bubble","outside","deer-bow",3
"breeze-bubble","outside","deer-breeze",3
"breeze-bubble","outside","deer-most",1
"breeze-bubble","outside","deer-pepper",1
"breeze-bubble","outside","deer-trash",1
"breeze-bubble","outside","deer-vegetable",2
"breeze-bubble","outside","deodorant-breeze",1
"breeze-bubble","outside","party-breeze",1
"breeze-bubble","outside","vegetable-breeze",1
"breeze-bubble","outside","vegetable-deer",1
"candle-wick","board","anger-rage",1
"candle-wick","board","candle-fly",1
"candle-wick","board","fly-layer",1
"candle-wick","board","guest-king",1
"candle-wick","board","guest-layer",1
"candle-wick","board","guest-sleep",1
"candle-wick","board","hammock-candle",1
"candle-wick","board","hammock-guest",1
"candle-wick","board","hammock-trauma",1
"candle-wick","board","king-layer",1
"candle-wick","board","king-male",1
"candle-wick","board","king-wick",1
"candle-wick","board","layer-fly",1
"candle-wick","board","layer-real",2
"candle-wick","board","layer-silly",1
"candle-wick","board","layer-sore",1
"candle-wick","board","male-candle",1
"candle-wick","board","rage-real",1
"candle-wick","board","real-layer",1
"candle-wick","board","real-silly",1
"candle-wick","board","silly-guest",1
"candle-wick","board","sleep-anger",1
"candle-wick","board","sleep-guest",1
"candle-wick","board","sleep-happen",1
"candle-wick","board","sleep-layer",1
"candle-wick","board","sore-king",1
"candle-wick","board","sore-skirt",1
"candle-wick","board","toe-guest",1
"candle-wick","board","weird-wick",1
"candle-wick","fire","anger-candle",1
"candle-wick","fire","anger-rage",1
"candle-wick","fire","anger-trauma",2
"candle-wick","fire","candle-anger",3
"candle-wick","fire","candle-hammock",1
"candle-wick","fire","candle-wick",9
"candle-wick","fire","fly-wick",1
"candle-wick","fire","happen-king",1
"candle-wick","fire","rage-anger",2
"candle-wick","fire","rage-candle",4
"candle-wick","fire","wick-anger",2
"candle-wick","fire","wick-candle",2
"candle-wick","fire","wick-rage",1
"candle-wick","flame","anger-rage",1
"candle-wick","flame","anger-wick",1
"candle-wick","flame","candle-anger",1
"candle-wick","flame","candle-candle",2
"candle-wick","flame","candle-rage",2
"candle-wick","flame","candle-trauma",1
"candle-wick","flame","candle-wick",6
"candle-wick","flame","hammock-rage",1
"candle-wick","flame","rage-anger",2
"candle-wick","flame","rage-wick",2
"candle-wick","flame","wick-candle",10
"candle-wick","flame","wick-trauma",1
"candle-wick","light","candle-fly",2
"candle-wick","light","candle-hammock",1
"candle-wick","light","candle-king",1
"candle-wick","light","candle-layer",1
"candle-wick","light","candle-olive",1
"candle-wick","light","candle-rage",1
"candle-wick","light","candle-real",1
"candle-wick","light","candle-wick",9
"candle-wick","light","hammock-fly",1
"candle-wick","light","layer-candle",1
"candle-wick","light","rage-anger",1
"candle-wick","light","silly-sleep",1
"candle-wick","light","sleep-candle",1
"candle-wick","light","sleep-trauma",1
"candle-wick","light","wick-candle",7
"cave-knight","castle","beam-knight",1
"cave-knight","castle","cave-firm",1
"cave-knight","castle","cave-knight",1
"cave-knight","castle","firm-cave",1
"cave-knight","castle","firm-knight",1
"cave-knight","castle","firm-sight",1
"cave-knight","castle","knight-analyze",1
"cave-knight","castle","knight-cave",1
"cave-knight","castle","knight-firm",6
"cave-knight","castle","knight-glow",4
"cave-knight","castle","knight-idiot",1
"cave-knight","castle","knight-knight",1
"cave-knight","castle","knight-oak",3
"cave-knight","castle","knight-red",1
"cave-knight","castle","knight-robin",3
"cave-knight","castle","knight-sight",1
"cave-knight","castle","knight-sunny",2
"cave-knight","dark","analyze-quick",1
"cave-knight","dark","beam-glow",1
"cave-knight","dark","cave-glow",2
"cave-knight","dark","cave-knight",3
"cave-knight","dark","cave-month",1
"cave-knight","dark","cave-quick",1
"cave-knight","dark","cave-red",1
"cave-knight","dark","cave-run",2
"cave-knight","dark","cave-sight",5
"cave-knight","dark","cave-sunny",5
"cave-knight","dark","cave-tree",1
"cave-knight","dark","glow-beam",1
"cave-knight","dark","glow-cave",1
"cave-knight","dark","knight-robin",1
"cave-knight","dark","red-knight",1
"cave-knight","dark","run-cave",1
"cave-knight","dark","sunny-beam",1
"cave-knight","dark","sunny-glow",1
"cave-knight","dungeon","cave-cut",2
"cave-knight","dungeon","cave-idiot",2
"cave-knight","dungeon","cave-knight",12
"cave-knight","dungeon","cave-month",1
"cave-knight","dungeon","cave-run",2
"cave-knight","dungeon","firm-cave",1
"cave-knight","dungeon","knight-cave",7
"cave-knight","dungeon","knight-idiot",1
"cave-knight","dungeon","knight-robin",1
"cave-knight","dungeon","run-cave",1
"cave-knight","opposite","analyze-idiot",2
"cave-knight","opposite","analyze-month",1
"cave-knight","opposite","analyze-oak",1
"cave-knight","opposite","analyze-quick",1
"cave-knight","opposite","analyze-red",1
"cave-knight","opposite","analyze-sight",1
"cave-knight","opposite","bench-run",1
"cave-knight","opposite","cave-sunny",2
"cave-knight","opposite","cut-trim",1
"cave-knight","opposite","firm-cut",1
"cave-knight","opposite","firm-idiot",2
"cave-knight","opposite","firm-run",1
"cave-knight","opposite","glow-beam",1
"cave-knight","opposite","glow-cave",1
"cave-knight","opposite","idiot-analyze",2
"cave-knight","opposite","idiot-idiot",1
"cave-knight","opposite","idiot-knight",1
"cave-knight","opposite","idiot-run",2
"cave-knight","opposite","knight-idiot",1
"cave-knight","opposite","knight-robin",1
"cave-knight","opposite","quick-idiot",1
"cave-knight","opposite","red-robin",2
"cave-knight","opposite","sunny-cave",2
"chair-table","dinner","bone-blaze",1
"chair-table","dinner","bone-gas",1
"chair-table","dinner","chair-table",2
"chair-table","dinner","early-table",1
"chair-table","dinner","fire-dope",1
"chair-table","dinner","garage-bone",1
"chair-table","dinner","late-early",1
"chair-table","dinner","late-table",2
"chair-table","dinner","table-bone",2
"chair-table","dinner","table-chair",7
"chair-table","dinner","table-fire",1
"chair-table","dinner","table-late",7
"chair-table","dinner","table-list",2
"chair-table","dinner","table-ring",1
"chair-table","furniture","chair-chapel",1
"chair-table","furniture","chair-garage",1
"chair-table","furniture","chair-table",18
"chair-table","furniture","dune-dope",1
"chair-table","furniture","garage-chair",1
"chair-table","furniture","garage-table",1
"chair-table","furniture","table-chair",6
"chair-table","furniture","table-garage",1
"chair-table","mealtime","blaze-fire",1
"chair-table","mealtime","chair-late",1
"chair-table","mealtime","chair-table",4
"chair-table","mealtime","dope-fire",1
"chair-table","mealtime","early-table",2
"chair-table","mealtime","late-early",2
"chair-table","mealtime","late-table",1
"chair-table","mealtime","list-table",1
"chair-table","mealtime","ring-table",2
"chair-table","mealtime","table-blaze",1
"chair-table","mealtime","table-bone",1
"chair-table","mealtime","table-chair",6
"chair-table","mealtime","table-early",4
"chair-table","mealtime","table-fire",1
"chair-table","mealtime","table-late",1
"chair-table","mealtime","table-ring",1
"chair-table","sit","boss-table",1
"chair-table","sit","chair-bone",1
"chair-table","sit","chair-chapel",2
"chair-table","sit","chair-feet",2
"chair-table","sit","chair-fire",1
"chair-table","sit","chair-sand",1
"chair-table","sit","chair-table",19
"chair-table","sit","feet-table",1
"chair-table","sit","table-chair",1
"chair-table","sit","table-feet",1
"circle-dance","campfire","aid-dark",1
"circle-dance","campfire","circle-dance",3
"circle-dance","campfire","circle-dark",3
"circle-dance","campfire","circle-jeans",1
"circle-dance","campfire","college-dark",1
"circle-dance","campfire","college-hundred",1
"circle-dance","campfire","dance-blood",1
"circle-dance","campfire","dance-dark",2
"circle-dance","campfire","dark-aid",1
"circle-dance","campfire","dark-calorie",1
"circle-dance","campfire","dark-circle",6
"circle-dance","campfire","dark-college",1
"circle-dance","campfire","dark-dance",3
"circle-dance","campfire","dark-jeans",1
"circle-dance","campfire","dark-wicked",1
"circle-dance","campfire","lion-circle",1
"circle-dance","campfire","lion-day",1
"circle-dance","campfire","wicked-dark",1
"circle-dance","move","blood-circle",1
"circle-dance","move","blood-day",1
"circle-dance","move","calorie-dance",1
"circle-dance","move","circle-aid",1
"circle-dance","move","circle-dance",1
"circle-dance","move","circle-economy",1
"circle-dance","move","circle-stripes",1
"circle-dance","move","college-circle",2
"circle-dance","move","college-disgust",1
"circle-dance","move","college-hundred",1
"circle-dance","move","dance-aid",1
"circle-dance","move","dance-calorie",1
"circle-dance","move","dance-circle",4
"circle-dance","move","dance-college",5
"circle-dance","move","dance-day",1
"circle-dance","move","dance-disgust",1
"circle-dance","move","dance-jeans",1
"circle-dance","move","dance-lion",1
"circle-dance","move","dance-nurse",1
"circle-dance","move","day-jeans",1
"circle-dance","move","disgust-aid",1
"circle-dance","move","literature-calorie",1
"circle-dance","round","circle-blood",2
"circle-dance","round","circle-circle",2
"circle-dance","round","circle-dance",6
"circle-dance","round","circle-day",7
"circle-dance","round","circle-disgust",1
"circle-dance","round","circle-economy",3
"circle-dance","round","circle-hundred",1
"circle-dance","round","circle-jeans",1
"circle-dance","round","circle-literature",3
"circle-dance","round","circle-nurse",1
"circle-dance","round","day-dance",1
"circle-dance","round","economy-blood",1
"circle-dance","round","stripes-aid",1
"circle-dance","twirl","circle-dance",7
"circle-dance","twirl","circle-wicked",1
"circle-dance","twirl","dance-circle",14
"circle-dance","twirl","dance-lion",1
"circle-dance","twirl","dance-stripes",2
"circle-dance","twirl","dance-wicked",1
"circle-dance","twirl","disgust-dance",1
"circle-dance","twirl","famine-ill",1
"circle-dance","twirl","stripes-lawyer",1
"circle-dance","twirl","wicked-stripes",1
"communicate-cooking","competition","actress-cooking",2
"communicate-cooking","competition","bad-cooking",1
"communicate-cooking","competition","bad-trash",1
"communicate-cooking","competition","bow-bow",1
"communicate-cooking","competition","bow-dominant",1
"communicate-cooking","competition","bubble-base",1
"communicate-cooking","competition","cooking-actress",1
"communicate-cooking","competition","cooking-dominant",2
"communicate-cooking","competition","cooking-sauce",1
"communicate-cooking","competition","deer-dominant",1
"communicate-cooking","competition","deodorant-cooking",1
"communicate-cooking","competition","dominant-actress",1
"communicate-cooking","competition","dominant-bad",1
"communicate-cooking","competition","dominant-base",1
"communicate-cooking","competition","dominant-bow",1
"communicate-cooking","competition","dominant-communicate",1
"communicate-cooking","competition","dominant-cooking",3
"communicate-cooking","competition","dominant-plan",5
"communicate-cooking","competition","dominant-trash",1
"communicate-cooking","competition","most-cooking",1
"communicate-cooking","competition","most-dominant",1
"communicate-cooking","competition","pepper-dominant",1
"communicate-cooking","ramsey","base-pepper",1
"communicate-cooking","ramsey","clarify-communicate",1
"communicate-cooking","ramsey","communicate-dominant",1
"communicate-cooking","ramsey","cooking-bad",1
"communicate-cooking","ramsey","cooking-bubble",1
"communicate-cooking","ramsey","cooking-communicate",2
"communicate-cooking","ramsey","cooking-dominant",2
"communicate-cooking","ramsey","cooking-party",2
"communicate-cooking","ramsey","cooking-pepper",5
"communicate-cooking","ramsey","cooking-sauce",4
"communicate-cooking","ramsey","cooking-vegetable",2
"communicate-cooking","ramsey","party-deodorant",1
"communicate-cooking","ramsey","pepper-cooking",1
"communicate-cooking","ramsey","sauce-cooking",2
"communicate-cooking","ramsey","trash-cooking",1
"communicate-cooking","ramsey","vegetable-cooking",2
"communicate-cooking","ramsey","vegetable-pepper",1
"communicate-cooking","talk","actress-care",1
"communicate-cooking","talk","actress-most",1
"communicate-cooking","talk","clarify-actress",1
"communicate-cooking","talk","clarify-communicate",1
"communicate-cooking","talk","communicate-actress",1
"communicate-cooking","talk","communicate-care",1
"communicate-cooking","talk","communicate-clarify",12
"communicate-cooking","talk","communicate-party",3
"communicate-cooking","talk","communicate-plan",3
"communicate-cooking","talk","party-actress",1
"communicate-cooking","talk","party-clarify",1
"communicate-cooking","talk","party-communicate",1
"communicate-cooking","talk","party-plan",1
"communicate-cooking","talk","plan-clarify",1
"communicate-cooking","talk","trash-bad",1
"communicate-cooking","tell","actress-communicate",1
"communicate-cooking","tell","care-care",1
"communicate-cooking","tell","clarify-actress",1
"communicate-cooking","tell","clarify-base",2
"communicate-cooking","tell","clarify-care",1
"communicate-cooking","tell","clarify-clarify",1
"communicate-cooking","tell","clarify-communicate",4
"communicate-cooking","tell","clarify-pepper",1
"communicate-cooking","tell","communicate-actress",1
"communicate-cooking","tell","communicate-care",4
"communicate-cooking","tell","communicate-clarify",10
"communicate-cooking","tell","communicate-plan",3
"corpse-fight","death","cautious-corpse",1
"corpse-fight","death","corpse-cautious",5
"corpse-fight","death","corpse-ceiling",1
"corpse-fight","death","corpse-corpse",1
"corpse-fight","death","corpse-fangs",3
"corpse-fight","death","corpse-fight",8
"corpse-fight","death","corpse-reality",3
"corpse-fight","death","fight-corpse",2
"corpse-fight","death","fight-egg",1
"corpse-fight","death","fight-fangs",1
"corpse-fight","death","fight-graph",1
"corpse-fight","death","island-corpse",1
"corpse-fight","death","reality-corpse",2
"corpse-fight","gladiator","cautious-fight",2
"corpse-fight","gladiator","corpse-cautious",1
"corpse-fight","gladiator","corpse-fight",2
"corpse-fight","gladiator","corpse-island",1
"corpse-fight","gladiator","fangs-island",1
"corpse-fight","gladiator","fight-cautious",2
"corpse-fight","gladiator","fight-copy",1
"corpse-fight","gladiator","fight-corpse",11
"corpse-fight","gladiator","fight-glacier",1
"corpse-fight","gladiator","fight-wrist",1
"corpse-fight","gladiator","garden-fangs",1
"corpse-fight","gladiator","glacier-cautious",2
"corpse-fight","gladiator","island-reality",1
